,Element,Wavelength,n,k
1134,Si,0.47,4.497,0.062086
1135,Si,0.48,4.419,0.055004
1136,Si,0.49,4.35,0.049131
1137,Si,0.5,4.294,0.044165
1138,Si,0.51,4.241,0.039367
1139,Si,0.52,4.193,0.036415
1140,Si,0.53,4.151,0.033108
1141,Si,0.54,4.112,0.030295
1142,Si,0.55,4.077,0.027968
1143,Si,0.56,4.045,0.025758
1144,Si,0.57,4.015,0.024131
1145,Si,0.58,3.988,0.022524
1146,Si,0.59,3.963,0.021081
1147,Si,0.6,3.94,0.019934
1148,Si,0.61,3.918,0.018446
1149,Si,0.62,3.898,0.017367
1150,Si,0.63,3.879,0.016444
1151,Si,0.64,3.861,0.015432
1152,Si,0.65,3.844,0.014431
1153,Si,0.66,3.828,0.013498
1154,Si,0.67,3.813,0.012743
1155,Si,0.68,3.798,0.011905
1156,Si,0.69,3.784,0.011201
1157,Si,0.7,3.772,0.010528
1158,Si,0.71,3.759,0.010057
1159,Si,0.72,3.748,0.0096257
1160,Si,0.73,3.737,0.0089461
1161,Si,0.74,3.727,0.008362
1162,Si,0.75,3.717,0.0078185
1163,Si,0.76,3.708,0.007197
1164,Si,0.77,3.699,0.0067402
1165,Si,0.78,3.691,0.0063933
1166,Si,0.79,3.683,0.005834
1167,Si,0.8,3.675,0.0054113
1168,Si,0.81,3.668,0.0049955
1169,Si,0.82,3.661,0.0046134
1170,Si,0.83,3.654,0.0042734
1171,Si,0.84,3.647,0.0039439
1172,Si,0.85,3.641,0.003612
1173,Si,0.86,3.635,0.0032781
1174,Si,0.87,3.63,0.0029839
1175,Si,0.88,3.624,0.0026821
1176,Si,0.89,3.619,0.0024293
1177,Si,0.9,3.614,0.0021701
1178,Si,0.91,3.609,0.0019625
1179,Si,0.92,3.604,0.0017571
1180,Si,0.93,3.6,0.0015467
1181,Si,0.94,3.595,0.0013689
1182,Si,0.95,3.591,0.0011793
1183,Si,0.96,3.587,0.0010237
1184,Si,0.97,3.583,0.00087225
1185,Si,0.98,3.579,0.00074866
1186,Si,0.99,3.575,0.00062238
1187,Si,1.01,3.568,0.00041071
1188,Si,1.02,3.565,0.00032386
1189,Si,1.03,3.562,0.00024753
1190,Si,1.04,3.559,0.00018704
1191,Si,1.05,3.556,0.0001362
1192,Si,1.06,3.553,9.3631e-05
1193,Si,1.07,3.55,6.8118e-05
1194,Si,1.08,3.547,5.3285e-05
1195,Si,1.09,3.545,4.0768e-05
1196,Si,1.1,3.542,3.0637e-05
1197,Si,1.11,3.54,2.3849e-05
1198,Si,1.12,3.537,1.7825e-05
1199,Si,1.13,3.535,1.3488e-05
1200,Si,1.14,3.532,9.0718e-06
1201,Si,1.15,3.53,6.223e-06
1202,Si,1.16,3.528,3.877e-06
1203,Si,1.17,3.526,2.0483e-06
1204,Si,1.18,3.524,6.1036e-07
1205,Si,1.19,3.522,3.4091e-07
1206,Si,1.2,3.52,2.1008e-07
1207,Si,1.21,3.518,1.2518e-07
1208,Si,1.22,3.517,7.9609e-08
1209,Si,1.23,3.515,4.6004e-08
1210,Si,1.24,3.513,2.3682e-08
1211,Si,1.25,3.511,9.9472e-09
1212,Si,1.26,3.509,3.6096e-09
1213,Si,1.27,3.508,2.0213e-09
1214,Si,1.28,3.506,1.2223e-09
1215,Si,1.29,3.505,7.2885e-10
1216,Si,1.3,3.503,4.6553e-10
1217,Si,1.31,3.502,2.8147e-10
1218,Si,1.32,3.5,1.6807e-10
1219,Si,1.33,3.499,8.467e-11
1220,Si,1.34,3.497,3.7322e-11
1221,Si,1.35,3.496,1.8263e-11
1222,Si,1.36,3.495,1.0281e-11
1223,Si,1.37,3.494,6.5413e-12
1224,Si,1.38,3.492,4.173e-12
1225,Si,1.39,3.491,2.5441e-12
1226,Si,1.4,3.49,1.5597e-12
1227,Si,1.41,3.489,9.5374e-13
1228,Si,1.42,3.488,5.65e-13
1229,Si,1.43,3.487,2.8449e-13
1230,Si,1.44,3.486,2.0626e-13
1231,Si,1.45,3.485,1.3846e-13
1431,material,0.00012399,0.9999946,8.241e-08
1432,material,0.00013051,0.999994,1.272e-07
1433,material,0.00013776,0.999993,1.2488e-07
1434,material,0.00015498,0.999991,1.9173e-07
1435,material,0.00017712,0.999989,3.1463e-07
1436,material,0.00020664,0.999984,5.5102e-07
1437,material,0.00024797,0.99998,1.0726e-06
1438,material,0.00030996,0.99997,2.4843e-06
1439,material,0.00035424,0.99995,4.0484e-06
1440,material,0.00041328,0.99994,7.1408e-06
1441,material,0.00049594,0.99991,1.3642e-05
1442,material,0.00061993,0.99987,3.2079e-05
1443,material,0.00065255,0.99986,3.8497e-05
1444,material,0.00068881,0.99985,4.7138e-05
1445,material,0.00072932,0.99984,5.7974e-05
1446,material,0.00074021,0.99984,6.1633e-05
1447,material,0.00077734,0.99986,7.4862e-05
1448,material,0.00078472,0.99987,7.848e-05
1449,material,0.00079274,0.9999,8.5418e-05
1450,material,0.00079376,0.99992,7.1847e-05
1451,material,0.00079478,0.99993,4.9998e-05
1452,material,0.00079529,0.99992,4.1131e-05
1453,material,0.0007958,0.99992,3.2911e-05
1454,material,0.00079785,0.99991,2.3687e-05
1455,material,0.00079887,0.99991,1.1026e-05
1456,material,0.0007999,0.99989,6.0484e-06
1457,material,0.0008051,0.99987,6.1901e-06
1458,material,0.00081569,0.99985,6.4818e-06
1459,material,0.00082657,0.99983,6.8049e-06
1460,material,0.00085507,0.99981,7.8422e-06
1461,material,0.00088561,0.99979,8.94e-06
1462,material,0.00095373,0.99974,1.1636e-05
1463,material,0.0010332,0.99968,1.5628e-05
1464,material,0.0011271,0.99961,2.1586e-05
1465,material,0.0012399,0.99953,3.1115e-05
1466,material,0.0013776,0.9994,4.6771e-05
1467,material,0.0015498,0.99924,7.2992e-05
1468,material,0.0017712,0.99898,0.00011811
1469,material,0.0020664,0.9986,0.00022001
1470,material,0.0024797,0.99797,0.00043503
1471,material,0.0030996,0.99694,0.00096887
1472,material,0.0041328,0.9948,0.0023492
1473,material,0.0049594,0.99313,0.0041863
1474,material,0.0061993,0.99111,0.0075099
1475,material,0.0065255,0.99054,0.0084716
1476,material,0.0068881,0.99007,0.0096517
1477,material,0.0072932,0.98909,0.010987
1478,material,0.0077491,0.98912,0.013728
1479,material,0.0082657,0.98966,0.014773
1480,material,0.0085507,0.98934,0.015437
1481,material,0.0088561,0.98883,0.016304
1482,material,0.0091841,0.98793,0.017765
1483,material,0.0095373,0.98761,0.020606
1484,material,0.0099188,0.98941,0.023421
1485,material,0.010332,0.99139,0.024063
1486,material,0.010781,0.99233,0.024928
1487,material,0.011271,0.99415,0.025452
1488,material,0.011808,0.99285,0.024415
1489,material,0.012399,0.99123,0.02992
1490,material,0.012652,0.99265,0.033061
1491,material,0.012915,0.99652,0.035883
1492,material,0.01319,1.0012,0.035311
1493,material,0.013477,1.0041,0.033392
1494,material,0.013776,1.0058,0.030918
1495,material,0.014089,1.006,0.028956
1496,material,0.014417,1.0065,0.028232
1497,material,0.01476,1.0074,0.026826
1498,material,0.01512,1.0077,0.02546
1499,material,0.015498,1.0075,0.024476
1500,material,0.015694,1.0075,0.024501
1501,material,0.015896,1.0078,0.024757
1502,material,0.016102,1.0095,0.02518
1503,material,0.016314,1.0106,0.023853
1504,material,0.016422,1.011,0.023955
1505,material,0.016531,1.0118,0.02402
1506,material,0.016642,1.0132,0.024343
1507,material,0.016755,1.0151,0.024184
1508,material,0.016777,1.0156,0.024228
1509,material,0.0168,1.0161,0.024282
1510,material,0.016823,1.0167,0.024375
1511,material,0.016846,1.0173,0.024499
1512,material,0.016869,1.0181,0.024831
1513,material,0.016892,1.0194,0.025432
1514,material,0.016915,1.0219,0.026018
1515,material,0.016938,1.0259,0.024227
1516,material,0.016961,1.0262,0.019564
1517,material,0.016984,1.0246,0.019145
1518,material,0.017008,1.0255,0.020012
1519,material,0.017031,1.0305,0.020072
1520,material,0.017054,1.0349,0.012476
1521,material,0.017078,1.0305,0.0041164
1522,material,0.017101,1.0249,0.0036218
1523,material,0.017125,1.0226,0.0034141
1524,material,0.017149,1.0206,0.00344
1525,material,0.017172,1.0192,0.0034767
1526,material,0.017196,1.0179,0.0034877
1527,material,0.017208,1.0174,0.0035108
1528,material,0.01722,1.0169,0.0035249
1529,material,0.017463,1.0108,0.0034957
1530,material,0.017712,1.007,0.0035425
1531,material,0.018233,1.0019,0.003673
1532,material,0.018786,0.99791,0.0038926
1533,material,0.019373,0.99457,0.0041092
1534,material,0.019998,0.99143,0.0042397
1535,material,0.020664,0.98827,0.0043696
1536,material,0.022543,0.97998,0.0050004
1537,material,0.024797,0.97048,0.0057469
1538,material,0.027552,0.95834,0.0066191
1539,material,0.030996,0.94189,0.0078466
1540,material,0.035424,0.91802,0.0093121
1541,material,0.041328,0.88013,0.011651
1542,material,0.049594,0.81512,0.015894
1543,material,0.061993,0.67912,0.02234
1544,material,0.065255,0.63242,0.02477
1545,material,0.068881,0.57251,0.027681
1546,material,0.072932,0.49131,0.032409
1547,material,0.077491,0.37197,0.044202
1548,material,0.078472,0.34031,0.04832
1549,material,0.079478,0.30373,0.053349
1550,material,0.07999,0.28271,0.056697
1551,material,0.08051,0.25936,0.061407
1552,material,0.081036,0.23344,0.068348
1553,material,0.081569,0.20569,0.079959
1554,material,0.082109,0.17943,0.094223
1555,material,0.082657,0.15065,0.11041
1556,material,0.083774,0.094517,0.16589
1557,material,0.084921,0.067041,0.2342
1558,material,0.086101,0.054863,0.29293
1559,material,0.088561,0.044168,0.39115
1560,material,0.095373,0.036437,0.59086
1561,material,0.10332,0.035753,0.77163
1562,material,0.11271,0.038468,0.95677
1563,material,0.12399,0.046304,1.1555
1564,material,0.13776,0.057167,1.3775
1565,material,0.15498,0.072505,1.6366
1566,material,0.17712,0.094236,1.9519
1567,material,0.20664,0.12677,2.3563
1232,material,0.24797,1.6444,2.9702
1233,material,0.25494,1.7278,3.0024
1234,material,0.26212,1.8112,3.0308
1235,material,0.26949,1.8942,3.0554
1236,material,0.27707,1.9763,3.0766
1237,material,0.28487,2.0573,3.0944
1238,material,0.29288,2.1368,3.1091
1239,material,0.30112,2.2147,3.121
1240,material,0.3096,2.2907,3.1302
1241,material,0.31831,2.3646,3.1372
1242,material,0.32726,2.4362,3.142
1243,material,0.33647,2.5055,3.145
1244,material,0.34594,2.5723,3.1464
1245,material,0.35567,2.6366,3.1466
1246,material,0.36568,2.6983,3.1456
1247,material,0.37596,2.7574,3.1439
1248,material,0.38654,2.8139,3.1415
1249,material,0.39742,2.8678,3.1388
1250,material,0.4086,2.919,3.1358
1251,material,0.42009,2.9677,3.1328
1252,material,0.43191,3.0138,3.13
1253,material,0.44406,3.0574,3.1275
1254,material,0.45656,3.0984,3.1255
1255,material,0.4694,3.137,3.1241
1256,material,0.48261,3.1731,3.1235
1257,material,0.49619,3.2068,3.1238
1258,material,0.51015,3.2381,3.125
1259,material,0.5245,3.267,3.1275
1260,material,0.53926,3.2937,3.1312
1261,material,0.55443,3.318,3.1362
1262,material,0.57003,3.34,3.1427
1263,material,0.58606,3.3597,3.1508
1264,material,0.60255,3.3772,3.1606
1265,material,0.6195,3.3924,3.1723
1266,material,0.63693,3.4054,3.1858
1267,material,0.65485,3.4161,3.2013
1268,material,0.67328,3.4246,3.2191
1269,material,0.69222,3.4308,3.239
1270,material,0.7117,3.4348,3.2614
1271,material,0.73172,3.4366,3.2863
1272,material,0.75231,3.436,3.3139
1273,material,0.77347,3.4332,3.3443
1274,material,0.79523,3.4282,3.3777
1275,material,0.81761,3.4209,3.4142
1276,material,0.84061,3.4113,3.454
1277,material,0.86426,3.3994,3.4973
1278,material,0.88857,3.3853,3.5442
1279,material,0.91357,3.369,3.5951
1280,material,0.93928,3.3505,3.6499
1281,material,0.9657,3.3298,3.7091
1282,material,0.99287,3.307,3.7728
1283,material,1.0208,3.2822,3.8412
1284,material,1.0495,3.2554,3.9145
1285,material,1.0791,3.2268,3.9931
1286,material,1.1094,3.1964,4.077
1287,material,1.1406,3.1644,4.1666
1288,material,1.1727,3.1309,4.262
1289,material,1.2057,3.0961,4.3635
1290,material,1.2396,3.0602,4.4712
1291,material,1.2745,3.0233,4.5854
1292,material,1.3104,2.9856,4.7062
1293,material,1.3472,2.9474,4.8338
1294,material,1.3851,2.9089,4.9683
1295,material,1.4241,2.8702,5.1099
1296,material,1.4642,2.8316,5.2586
1297,material,1.5054,2.7933,5.4145
1298,material,1.5477,2.7555,5.5777
1299,material,1.5913,2.7183,5.7482
1300,material,1.636,2.682,5.9262
1301,material,1.6821,2.6466,6.1116
1302,material,1.7294,2.6125,6.3045
1303,material,1.778,2.5796,6.5049
1304,material,1.8281,2.5481,6.7128
1305,material,1.8795,2.518,6.9283
1306,material,1.9324,2.4896,7.1515
1307,material,1.9867,2.4629,7.3823
1308,material,2.0426,2.4379,7.6208
1309,material,2.1001,2.4147,7.8671
1310,material,2.1592,2.3934,8.1213
1311,material,2.2199,2.374,8.3835
1312,material,2.2824,2.3565,8.6537
1313,material,2.3466,2.341,8.932
1314,material,2.4126,2.3276,9.2186
1315,material,2.4805,2.3163,9.5136
1316,material,2.5503,2.307,9.8172
1317,material,2.6221,2.3,10.129
1318,material,2.6958,2.2951,10.451
1319,material,2.7717,2.2924,10.781
1320,material,2.8497,2.2921,11.12
1321,material,2.9298,2.294,11.469
1322,material,3.0123,2.2984,11.827
1323,material,3.097,2.3052,12.195
1324,material,3.1841,2.3145,12.573
1325,material,3.2737,2.3264,12.962
1326,material,3.3658,2.3409,13.361
1327,material,3.4605,2.3582,13.77
1328,material,3.5579,2.3783,14.191
1329,material,3.658,2.4013,14.623
1330,material,3.7609,2.4273,15.067
1331,material,3.8667,2.4564,15.522
1332,material,3.9755,2.4888,15.99
1333,material,4.0873,2.5246,16.47
1334,material,4.2023,2.5638,16.963
1335,material,4.3206,2.6068,17.468
1336,material,4.4421,2.6535,17.988
1337,material,4.5671,2.7041,18.521
1338,material,4.6956,2.7589,19.068
1339,material,4.8277,2.8181,19.629
1340,material,4.9635,2.8817,20.205
1341,material,5.1032,2.9501,20.796
1342,material,5.2468,3.0234,21.403
1343,material,5.3944,3.1019,22.026
1344,material,5.5461,3.1858,22.665
1345,material,5.7022,3.2754,23.32
1346,material,5.8626,3.371,23.992
1347,material,6.0275,3.4728,24.682
1348,material,6.1971,3.5811,25.39
1349,material,6.3715,3.6963,26.116
1350,material,6.5507,3.8187,26.86
1351,material,6.735,3.9487,27.624
1352,material,6.9245,4.0866,28.406
1353,material,7.1193,4.2328,29.209
1354,material,7.3196,4.3877,30.032
1355,material,7.5256,4.5517,30.876
1356,material,7.7373,4.7254,31.74
1357,material,7.955,4.9091,32.627
1358,material,8.1788,5.1034,33.535
1359,material,8.4089,5.3087,34.465
1360,material,8.6455,5.5256,35.418
1361,material,8.8887,5.7546,36.395
1362,material,9.1388,5.9964,37.394
1363,material,9.3959,6.2515,38.418
1364,material,9.6603,6.5205,39.466
1365,material,9.9321,6.8041,40.539
1366,material,10.212,7.1029,41.636
1367,material,10.499,7.4177,42.759
1368,material,10.794,7.7492,43.908
1369,material,11.098,8.098,45.083
1370,material,11.41,8.4651,46.283
1371,material,11.731,8.851,47.511
1372,material,12.061,9.2568,48.765
1373,material,12.401,9.6831,50.046
1374,material,12.749,10.131,51.355
1375,material,13.108,10.601,52.69
1376,material,13.477,11.094,54.053
1377,material,13.856,11.611,55.444
1378,material,14.246,12.154,56.862
1379,material,14.647,12.722,58.308
1380,material,15.059,13.317,59.782
1381,material,15.482,13.94,61.283
1382,material,15.918,14.592,62.812
1383,material,16.366,15.274,64.368
1384,material,16.826,15.986,65.952
1385,material,17.3,16.73,67.562
1386,material,17.786,17.506,69.199
1387,material,18.287,18.316,70.863
1388,material,18.801,19.161,72.552
1389,material,19.33,20.041,74.267
1390,material,19.874,20.957,76.007
1391,material,20.433,21.91,77.772
1392,material,21.008,22.902,79.561
1393,material,21.599,23.932,81.373
1394,material,22.207,25.001,83.208
1395,material,22.832,26.111,85.066
1396,material,23.474,27.261,86.944
1397,material,24.134,28.454,88.844
1398,material,24.813,29.688,90.763
1399,material,25.512,30.965,92.701
1400,material,26.229,32.284,94.658
1401,material,26.967,33.648,96.631
1402,material,27.726,35.054,98.622
1403,material,28.506,36.505,100.63
1404,material,30.133,39.54,104.68
1405,material,30.98,41.123,106.73
1406,material,31.852,42.751,108.79
1407,material,32.748,44.423,110.86
1408,material,33.67,46.139,112.94
1409,material,34.617,47.899,115.03
1410,material,35.591,49.702,117.13
1411,material,36.592,51.548,119.24
1412,material,37.622,53.437,121.36
1413,material,38.68,55.369,123.48
1414,material,39.768,57.342,125.61
1415,material,40.887,59.356,127.75
1416,material,42.038,61.411,129.89
1417,material,43.22,63.506,132.04
1418,material,44.436,65.641,134.19
1419,material,45.686,67.814,136.35
1420,material,46.972,70.025,138.51
1421,material,48.293,72.273,140.68
1422,material,49.652,74.558,142.85
1423,material,51.049,76.879,145.03
1424,material,52.485,79.235,147.21
1425,material,53.962,81.626,149.39
1426,material,55.48,84.05,151.59
1427,material,57.041,86.508,153.78
1428,material,58.646,88.998,155.99
1429,material,60.296,91.521,158.2
1430,material,61.992,94.075,160.42
1568,material,66.666,202.63,295.42
1569,material,80.001,233.56,321.08
1570,material,99.996,274.38,354.35
1571,material,137.76,339.62,408.92
1572,material,153.85,364.04,429.62
1573,material,177.12,397.93,458.5
